timestamp,chain_atomone,marketPrice_atomone,marketVolume_atomone,txCount_atomone,chain_cosmos,marketPrice_cosmos,marketVolume_cosmos,txCount_cosmos
2025-06-15 23:26:40+00:00,atomone,0.773473,112.9471553,101.9807156,cosmos,4.09,77.48456258,71.52248989
2025-06-17 00:26:40+00:00,atomone,0.811345,104.8684207,95.4992034,cosmos,4.16,79.50069841,65.65845206
2025-06-17 22:40:00+00:00,atomone,0.716272,96.15200638,95.78299257,cosmos,4.03,78.59808268,66.43952156
2025-06-18 23:40:00+00:00,atomone,0.674686,59.17130912,95.36477695,cosmos,4.01,73.099635,65.89285714
2025-06-20 00:40:00+00:00,atomone,0.651834,51.20751571,96.14976102,cosmos,4.04,65.98436415,65.76626877
2025-06-20 22:53:20+00:00,atomone,0.620093,47.62653544,97.84502788,cosmos,3.93,64.75533223,65.8141004
2025-06-21 23:53:20+00:00,atomone,0.564245,39.50783843,93.83712825,cosmos,3.76,56.87426447,68.17427561
2025-06-23 00:53:20+00:00,atomone,0.558558,38.66315507,94.3441317,cosmos,3.72,64.94992158,69.9706392
2025-06-23 23:06:40+00:00,atomone,0.597742,37.81158164,94.52253717,cosmos,4.08,65.39776988,71.03942049
2025-06-25 00:06:40+00:00,atomone,0.586296,39.12813016,97.19198088,cosmos,4.07,65.85990924,71.59174047
2025-06-26 01:06:40+00:00,atomone,0.554523,36.75659105,96.27588954,cosmos,4,65.39474723,71.04303042
2025-06-26 23:20:00+00:00,atomone,0.528722,37.71802787,93.23303903,cosmos,3.9,63.46630807,70.62415768
2025-06-28 00:20:00+00:00,atomone,0.531841,35.61198213,86.87599575,cosmos,3.92,62.97475781,70.70273392
2025-06-29 01:20:00+00:00,atomone,0.506866,36.97021079,87.77217207,cosmos,3.99,60.82052253,70.67433577
2025-06-29 23:33:20+00:00,atomone,0.528933,34.04447901,88.22026022,cosmos,4.21,59.03922819,72.67393868
2025-07-01 00:33:20+00:00,atomone,0.489875,31.59175368,88.69490175,cosmos,4.1,50.68228881,71.57730073
2025-07-01 22:46:40+00:00,atomone,0.457945,35.3970446,87.5813197,cosmos,3.93,49.55744944,71.72717318
2025-07-02 23:46:40+00:00,atomone,0.477407,39.20843596,85.00813197,cosmos,4.17,48.22547464,71.94533356
2025-07-04 00:46:40+00:00,atomone,0.385545,50.62145228,81.95034519,cosmos,4.18,47.88243963,73.61426646
2025-07-04 23:00:00+00:00,atomone,0.374926,50.63468176,82.49302974,cosmos,4,48.33615867,71.86110175
2025-07-06 00:00:00+00:00,atomone,0.328193,54.71278595,84.02067844,cosmos,4.01,47.37487514,71.87794811
2025-07-07 01:00:00+00:00,atomone,0.337609,57.28531108,82.33536909,cosmos,4.08,47.7499159,70.50346554
2025-07-07 23:13:20+00:00,atomone,0.413271,70.89292453,83.02160781,cosmos,4.04,46.47184925,71.09543464
2025-07-09 00:13:20+00:00,atomone,0.40251,78.5968459,85.62134891,cosmos,4.13,47.27663937,71.83962264
2025-07-10 01:13:20+00:00,atomone,0.402986,74.95723407,94.41715348,cosmos,4.31,49.60409402,74.6929149
2025-07-10 23:26:40+00:00,atomone,0.439433,70.66974328,98.69888476,cosmos,4.61,54.31873249,81.52417453
2025-07-12 00:26:40+00:00,atomone,0.404434,61.39699571,104.992034,cosmos,4.65,67.56655536,85.63294186
2025-07-12 22:40:00+00:00,atomone,0.396682,54.93061032,107.6789033,cosmos,4.59,68.11659173,85.5550876
2025-07-13 23:40:00+00:00,atomone,0.397345,50.35894654,112.7788104,cosmos,4.68,71.9006966,90.59636119
2025-07-15 00:40:00+00:00,atomone,0.356182,36.24074505,122.3446628,cosmos,4.55,85.34745473,93.62966885
2025-07-15 22:53:20+00:00,atomone,0.365752,33.07891552,120.3008829,cosmos,4.67,86.38378244,94.29287399
2025-07-16 23:53:20+00:00,atomone,0.357475,25.28162461,123.6466078,cosmos,4.75,91.66836854,96.57766173
2025-07-18 00:53:20+00:00,atomone,0.342231,19.81039466,117.8505045,cosmos,4.88,97.52288666,95.19108587
2025-07-18 23:06:40+00:00,atomone,0.337572,19.10862413,115.677277,cosmos,5.1,104.6298551,93.07951482
2025-07-20 00:06:40+00:00,atomone,0.322747,16.41347144,121.1032926,cosmos,5.02,100.1943233,100.0510204
2025-07-21 01:06:40+00:00,atomone,0.342519,17.80839069,122.8491768,cosmos,5.17,106.8723421,103.9675587
2025-07-21 23:20:00+00:00,atomone,0.352318,17.55358993,121.7181691,cosmos,5.2,108.0503251,103.5179414
2025-07-23 00:20:00+00:00,atomone,0.360957,15.74720698,118.6802974,cosmos,5.11,112.7461005,105.8485753
2025-07-24 01:20:00+00:00,atomone,0.347837,17.72816852,112.0021243,cosmos,4.7,118.2988128,102.9615903
2025-07-24 23:33:20+00:00,atomone,0.336878,17.37198725,109.3343401,cosmos,4.63,116.8081555,99.46302224
2025-07-26 00:33:20+00:00,atomone,0.330975,15.98399392,106.5055762,cosmos,4.71,108.6299606,96.14651521
2025-07-26 22:46:40+00:00,atomone,0.336172,16.06663989,104.3273699,cosmos,4.77,101.0464525,95.08254717
2025-07-27 23:46:40+00:00,atomone,0.337231,15.51998589,96.57876394,cosmos,4.87,97.11036204,93.13889825
2025-07-29 00:46:40+00:00,atomone,0.291161,15.73516353,92.51194902,cosmos,4.63,92.57214039,87.17077397
2025-07-29 23:00:00+00:00,atomone,0.291128,16.90364093,87.4767658,cosmos,4.6,92.81110928,87.04009434
2025-07-31 00:00:00+00:00,atomone,0.280833,15.40060836,82.67890335,cosmos,4.42,92.33284775,86.16955863
2025-08-01 01:00:00+00:00,atomone,0.272447,11.70763501,78.90334572,cosmos,4.21,84.33224062,90.275799
2025-08-01 23:13:20+00:00,atomone,0.286499,12.25216442,75.27300186,cosmos,4.15,89.35648347,88.47751011
2025-08-03 00:13:20+00:00,atomone,0.273145,12.25976085,71.01699416,cosmos,4.1,91.96144357,89.11243743
2025-08-04 01:13:20+00:00,atomone,0.284581,12.33367211,66.35687732,cosmos,4.27,92.31667849,86.62302657
2025-08-04 23:26:40+00:00,atomone,0.285064,12.65347312,64.0508829,cosmos,4.31,89.93727725,86.19398585
2025-08-06 00:26:40+00:00,atomone,0.28284,9.252598213,54.76633032,cosmos,4.23,86.87716102,86.85261841
2025-08-06 22:40:00+00:00,atomone,0.290491,8.862109928,54.6526487,cosmos,4.33,84.33520721,92.93126685
2025-08-07 23:40:00+00:00,atomone,0.390681,22.12082972,55.80855019,cosmos,4.47,78.26305684,100.2358491
2025-08-09 00:40:00+00:00,atomone,0.371149,24.81905084,56.33297929,cosmos,4.61,80.26232674,110.1718329
2025-08-09 22:53:20+00:00,atomone,0.345885,25.48908011,56.71468401,cosmos,4.73,80.48030329,109.878285
2025-08-10 23:53:20+00:00,atomone,0.33425,25.68664507,60.03717472,cosmos,4.66,79.80469053,114.1568396
2025-08-12 00:53:20+00:00,atomone,0.332255,27.58068277,63.24349442,cosmos,4.49,86.06914418,123.7177513
2025-08-12 23:06:40+00:00,atomone,0.34093,25.77511681,64.69563197,cosmos,4.7,86.75902975,131.0318396
2025-08-14 00:06:40+00:00,atomone,0.3525,29.85795079,70.03451938,cosmos,4.86,94.55742658,132.7445129
2025-08-15 01:06:40+00:00,atomone,0.329084,15.40027424,72.42432289,cosmos,4.53,101.7833642,124.8921833
2025-08-15 23:20:00+00:00,atomone,0.327017,14.29661832,71.19539963,cosmos,4.45,100.6535278,124.1463106
2025-08-17 00:20:00+00:00,atomone,0.330126,10.37106946,73.97769517,cosmos,4.57,89.48006944,125.5029842
2025-08-18 01:20:00+00:00,atomone,0.328749,9.536834062,70.53903346,cosmos,4.64,89.16826567,131.6153254
